,0,1,2,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,target
106,-2537.8073571462883,9.149494889517058,-168.38133248310524,C,E,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.140601999999998
107,2210.276144616754,2148.7930294658095,86.44450093453183,B,C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17.620002
108,-111.79253210227746,-422.41467323165284,-179.83334879673157,E,L,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,22.189995
109,2822.365197128275,-614.3078292441635,482.4558985956374,A,D,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,21.380010000000002
110,-1289.0879828267493,-42.172392042046084,519.613689979685,D,C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,23.36
111,-489.7394904256027,-227.55693546204384,-218.1664570599164,C,D,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.010002
112,-27.352372666326026,-303.5488906874534,-20.367172643582325,D,C,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21.21
113,-724.3974166074694,-393.46791453913465,226.81825204999473,A,J,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.400001
114,1423.0087249939693,14.050662681730442,407.90252031756347,B,C,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.910003
115,1619.3301234880123,2502.36177593889,39.94649226158696,A,G,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,22.22
116,-2327.5245101442947,-7.922733995704294,59.61179112579992,E,C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21.0937
117,-1443.4843161601152,-157.2887961006582,719.0119644401117,A,J,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22.421889999999998
118,3135.7647522703005,-496.7860804998104,98.40350275871414,C,C,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,23.320007
119,-520.538285263102,-404.60710793642016,-154.00511391206237,E,F,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.57
120,-1736.9847171851895,-101.78140082172814,388.1740843177841,B,H,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21.5625
121,434.75392954723776,-387.56534325485495,-191.27377048878355,C,L,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.119995
122,1676.7301314230149,1140.2796930810732,-357.8959216579919,C,G,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21.050003
123,2525.4404870278095,-894.1034024130577,187.77373492233403,C,G,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21.199997
124,-2550.5527306713575,36.43241588454893,-41.563467769142555,C,D,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.2968
125,1727.971278364156,-597.0939190470596,248.09191738355545,D,C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.660003
126,1502.1693244232574,1466.7190462777723,-637.1673815063248,B,E,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.71
127,509.57672327482726,476.7630105035475,212.17042123519963,A,C,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22.34999
128,-1110.8966508429248,-271.4618420962166,64.39579001723125,D,B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.830001
129,1404.8752321423158,1720.7618236150743,-393.2793434001381,C,I,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,21.79
130,2401.845327362185,-495.17172677588036,1163.3540973360818,A,I,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17.459992
